Date,Ken,Birth
1996,okinawa,13.4
1997,okinawa,12.9
1998,okinawa,13.1
1999,okinawa,12.8
2000,okinawa,12.8
2001,okinawa,13
2002,okinawa,12.4
2003,okinawa,12.1
2004,okinawa,12.1
2005,okinawa,11.9
2006,okinawa,12.1
2007,okinawa,12.1
2008,okinawa,12.2
2009,okinawa,12.2
2010,okinawa,12.3
2011,okinawa,12.1
2012,okinawa,12.2
2013,okinawa,12.2
2014,okinawa,11.6
2015,okinawa,11.9
2016,okinawa,11.6
2017,okinawa,11.3
2018,okinawa,11
2019,okinawa,10.4
2020,okinawa,10.3
2021,okinawa,10
