date,close
2021/4/30 0:00,53620.63
2021/4/29 0:00,53555
2021/4/28 0:00,54846.22
2021/4/27 0:00,55011.97
2021/4/26 0:00,54001.39
2021/4/25 0:00,49066.77
2021/4/24 0:00,50047.84
2021/4/23 0:00,51125.14
2021/4/22 0:00,51690.96
2021/4/21 0:00,53787.63
2021/4/20 0:00,56425
2021/4/19 0:00,55633.14
2021/4/18 0:00,56150.01
2021/4/17 0:00,60006.66
2021/4/16 0:00,61334.8
2021/4/15 0:00,63159.98
2021/4/14 0:00,62959.53
2021/4/13 0:00,63575
2021/4/12 0:00,59860
2021/4/11 0:00,60002.43
2021/4/10 0:00,59769.13
2021/4/9 0:00,58142.54
2021/4/8 0:00,58077.52
2021/4/7 0:00,55953.45
2021/4/6 0:00,57991.15
2021/4/5 0:00,59129.99
2021/4/4 0:00,58202.01
2021/4/3 0:00,57051.94
2021/4/2 0:00,58950.01
2021/4/1 0:00,58720.44
2021/3/31 0:00,58740.55
2021/3/30 0:00,58746.57
2021/3/29 0:00,57635.47
2021/3/28 0:00,55777.63
2021/3/27 0:00,55817.14
2021/3/26 0:00,55025.59
2021/3/25 0:00,51293.78
2021/3/24 0:00,52303.65
2021/3/23 0:00,54340.89
2021/3/22 0:00,54083.25
2021/3/21 0:00,57351.56
2021/3/20 0:00,58102.28
2021/3/19 0:00,58030.01
2021/3/18 0:00,57648.16
2021/3/17 0:00,58912.97
2021/3/16 0:00,56900.75
2021/3/15 0:00,55605.2
2021/3/14 0:00,58968.31
2021/3/13 0:00,61188.39
2021/3/12 0:00,57221.72
2021/3/11 0:00,57773.16
2021/3/10 0:00,55851.59
2021/3/9 0:00,54884.5
2021/3/8 0:00,52375.17
2021/3/7 0:00,50971.75
2021/3/6 0:00,48882.2
2021/3/5 0:00,48751.71
2021/3/4 0:00,48374.09
2021/3/3 0:00,50349.37
2021/3/2 0:00,48440.65
2021/3/1 0:00,49587.03
2021/2/28 0:00,45135.66
2021/2/27 0:00,46106.43
2021/2/26 0:00,46276.87
2021/2/25 0:00,47073.73
2021/2/24 0:00,49676.2
2021/2/23 0:00,48891
2021/2/22 0:00,54087.67
2021/2/21 0:00,57408.57
2021/2/20 0:00,55841.19
2021/2/19 0:00,55906
2021/2/18 0:00,51552.6
2021/2/17 0:00,52119.71
2021/2/16 0:00,49133.45
2021/2/15 0:00,47911.1
2021/2/14 0:00,48577.79
2021/2/13 0:00,47153.69
