Date,Ken,Pop,Birth
2020,kagoshima,1588256,7.4
2020,kanagawa,9237337,6.8
2020,kochi,691527,5.9
2020,kumamoto,1738301,7.6
2020,kyoto,2578087,6.5
2020,mie,1770254,6.5
2020,miyagi,2301996,6.4
2020,miyazaki,1069576,7.3
2020,nagano,2048011,6.4
2020,nagasaki,1312317,7.0
2020,nara,1324473,6.0
2020,niigata,2201272,5.9
2020,oita,1123852,6.8
2020,okayama,1888432,7.3
2020,okinawa,1467480,10.3
2020,osaka,8837685,7.2
2020,saga,811442,7.5
2020,saitama,7344765,6.6
2020,shiga,1413610,7.6
2020,shimane,671126,6.8
2020,shizuoka,3633202,6.4
2020,tochigi,1933146,6.2
2020,tokushima,719559,6.3
2020,tokyo,14047594,7.4
2020,tottori,553407,6.9
2020,toyama,1034814,6.1
2020,wakayama,922584,6.3
2020,yamagata,1068027,5.9
2020,yamaguchi,1342059,6.2
2020,yamanashi,809974,6.5
