"Entity","Code","Confirmed","GDP","Continent"
"Montenegro","MNE",503.144,16409.2876960117,"Europe"
"Morocco","MAR",95.542,7485.01295069865,"Africa"
"Mozambique","MOZ",1.43,1136.10256446235,"Africa"
"Myanmar","MMR",2.536,5591.5968799618,"Asia"
"Namibia","NAM",6.184,9541.80829205217,"Africa"
"Nepal","NPL",1.618,2442.80394231834,"Asia"
"Netherlands","NLD",2131.707,48472.5445411531,"Europe"
"New Zealand","NZL",284.026,36085.8427771972,"Oceania"
"Nicaragua","NIC",1.641,5321.44351591724,"North America"
"Niger","NER",26.7,926.000141959658,"Africa"
"Nigeria","NGA",4.64,5338.45412665139,"Africa"
"North Macedonia","MKD",624.201,13111.2135744255,"Europe"
"Norway","NOR",1354.098,64800.0573263061,"Europe"
"Oman","OMN",328.523,37960.7091885335,"Asia"
"Pakistan","PAK",53.02,5034.70775633353,"Asia"
"Palestine","PSE",64.334,4449.89832452996,"Asia"
"Panama","PAN",1179.026,22267.0368216362,"North America"
"Papua New Guinea","PNG",0.877,3823.19379963882,"Oceania"
"Paraguay","PRY",30.472,8827.01005811482,"South America"
"Peru","PER",626.929,12236.7061519677,"South America"
"Philippines","PHL",62.865,7599.18806040387,"Asia"
"Poland","POL",278.091,27216.4448774425,"Europe"
"Portugal","PRT",2198.384,27936.8960928735,"Europe"
"Qatar","QAT",2649.356,116935.600359799,"Asia"
"Romania","ROU",527.819,23313.1993431851,"Europe"
"Russia","RUS",430.211,24765.9536336261,"Europe"
"Rwanda","RWA",11.599,1854.21079087361,"Africa"
"Saint Kitts and Nevis","KNA",280.133,24654.3854011216,"North America"
"Saint Lucia","LCA",81.344,12951.8388772691,"North America"
"Saint Vincent and the Grenadines","VCT",116.834,10727.146072995,"North America"
"San Marino","SMR",14348.721,56861.4697322851,"Europe"
"Sao Tome and Principe","STP",17.908,3052.71374319686,"Africa"
"Saudi Arabia","SAU",394.163,49045.4112618159,"Asia"
"Senegal","SEN",27.855,2470.57958207519,"Africa"
"Serbia","SRB",1058.859,14048.8806366748,"Europe"
"Seychelles","SYC",111.212,26382.2873463186,"Africa"
"Sierra Leone","SLE",7.861,1390.30026748482,"Africa"
"Singapore","SGP",2049.655,85535.3832002,"Asia"
"Slovakia","SVK",243.152,30155.1521229863,"Europe"
"Slovenia","SVN",657.134,31400.8395120955,"Europe"
"South Africa","ZAF",65.837,12294.8761402351,"Africa"
"South Korea","KOR",208.712,35938.3742161469,"Asia"
"South Sudan","SSD",0.439,1569.88834552626,"Africa"
"Spain","ESP",4557.13,34272.3603838191,"Europe"
"Sri Lanka","LKA",17.118,11669.0766785045,"Asia"
"Sudan","SDN",3.607,4466.50675475659,"Africa"
"Suriname","SUR",16.898,13767.1185111168,"South America"
"Sweden","SWE",1703.812,46949.2830858792,"Europe"
"Switzerland","CHE",3269.579,57410.1658575199,"Europe"
"Tanzania","TZA",4.618,2683.3040235534,"Africa"
"Thailand","THA",40.586,16277.6711509397,"Asia"
"Timor","TLS",17.115,6570.10161939798,"Asia"
"Togo","TGO",10.38,1429.81342674593,"Africa"
"Trinidad and Tobago","TTO",81.945,28763.0707623686,"North America"
"Tunisia","TUN",76.912,10849.2973861625,"Africa"
"Turkey","TUR",1196.928,25129.3406487777,"Asia"
"Uganda","UGA",1.57,1697.70651058028,"Africa"
"Ukraine","UKR",164.953,7894.39292578581,"Europe"
"United Arab Emirates","ARE",876.381,67293.4827590288,"Asia"
"United Kingdom","GBR",2141.052,39753.2438934915,"Europe"
"United States","USA",2648.997,54225.4461231621,"North America"
"Uruguay","URY",159.821,20551.4094200387,"South America"
"Uzbekistan","UZB",51.804,6253.10386034453,"Asia"
"Venezuela","VEN",10.834,16745.0219796981,"South America"
"Vietnam","VNM",2.73,6171.8841923362,"Asia"
"Yemen","YEM",0.033,1479.14700530618,"Asia"
"Zambia","ZMB",4.017,3689.25082617978,"Africa"
"Zimbabwe","ZWE",1.855,1899.77497716634,"Africa"
