時点,出生数,死亡数,自然増減数
2002年,18763,16474,2289
2003年,18337,16935,1402
2004年,17745,17267,478
2005年,17134,18546,-1412
2006年,17061,18061,-1000
2007年,16817,18498,-1681
2008年,17044,18935,-1891
2009年,16310,19421,-3111
2010年,16023,20385,-4362
2011年,15637,20930,-5293
2012年,14914,21169,-6255
2013年,14732,21661,-6929
2014年,14522,21441,-6919
2015年,14256,21519,-7263
2016年,13661,22127,-8466
2017年,13280,22587,-9307
2018年,12922,22937,-10015
2019年,11901,23254,-11353
2020年,11660,23286,-11626
2021年,11236,24304,
