Date,Ken,Jyutaku,Akiya
2003,yamaguchi,654600,82200
2008,yamaguchi,691600,104600
2013,yamaguchi,706400,114400
2018,yamaguchi,719900,126800
1978,tokushima,243700,17600
1983,tokushima,263700,25000
1988,tokushima,279600,30000
1993,tokushima,304100,36700
1998,tokushima,319500,40800
2003,tokushima,336300,46100
2008,tokushima,355600,56500
2013,tokushima,364900,64000
2018,tokushima,380700,74100
1978,kagawa,300800,25600
1983,kagawa,320400,27600
1988,kagawa,341700,34800
1993,kagawa,364500,39400
1998,kagawa,405300,49800
2003,kagawa,421100,58400
2008,kagawa,446400,71400
2013,kagawa,470500,80900
2018,kagawa,487700,88200
1978,ehime,477400,35500
1983,ehime,512500,48300
1988,ehime,557000,60000
1993,ehime,592000,67500
1998,ehime,621300,71500
2003,ehime,650100,88900
2008,ehime,681100,102800
2013,ehime,705200,123400
2018,ehime,714300,129800
1978,kochi,278800,23000
1983,kochi,299000,33700
1988,kochi,323500,43200
1993,kochi,337500,48500
1998,kochi,347200,46100
2003,kochi,373500,52500
2008,kochi,377700,62600
2013,kochi,392400,69800
2018,kochi,391600,74600
1978,fukuoka,1400800,105100
1983,fukuoka,1545300,132300
1988,fukuoka,1683500,170400
1993,fukuoka,1838600,172500
1998,fukuoka,2008700,199100
2003,fukuoka,2194500,242600
2008,fukuoka,2374800,324600
2013,fukuoka,2492700,316800
2018,fukuoka,2581200,328600
1978,saga,221600,9300
1983,saga,237900,12800
1988,saga,255800,16700
1993,saga,269900,18300
1998,saga,299900,24700
2003,saga,303400,28400
2008,saga,322900,35700
2013,saga,338200,43300
2018,saga,352100,50500
1978,nagasaki,459300,26800
1983,nagasaki,495600,33200
1988,nagasaki,533000,50500
1993,nagasaki,544600,48900
1998,nagasaki,586000,64500
2003,nagasaki,603400,74500
2008,nagasaki,631100,88800
2013,nagasaki,660100,101800
2018,nagasaki,659500,101500
1978,kumamoto,507000,28800
1983,kumamoto,547700,36900
1988,kumamoto,601200,49100
1993,kumamoto,641300,57800
1998,kumamoto,687400,68100
2003,kumamoto,729700,81400
2008,kumamoto,769500,102800
2013,kumamoto,804300,114800
2018,kumamoto,813700,111900
1978,oita,375500,26100
1983,oita,399400,31900
1988,oita,430000,42600
1993,oita,457900,44500
1998,oita,495600,58800
2003,oita,516500,65700
2008,oita,546500,77200
2013,oita,569500,89900
2018,oita,581800,97700
1978,miyazaki,355800,20900
1983,miyazaki,387800,26700
1988,miyazaki,412200,34300
1993,miyazaki,438600,37900
1998,miyazaki,473700,48300
2003,miyazaki,490400,53500
2008,miyazaki,509600,62900
2013,miyazaki,533900,74200
2018,miyazaki,546400,84200
1978,kagoshima,609400,38200
1983,kagoshima,664000,54700
1988,kagoshima,718500,80900
1993,kagoshima,747500,83800
1998,kagoshima,781600,89400
2003,kagoshima,809700,106400
2008,kagoshima,851300,129900
2013,kagoshima,864700,147300
2018,kagoshima,879400,167000
1978,okinawa,303000,21800
1983,okinawa,338200,20800
1988,okinawa,388700,36200
1993,okinawa,428300,43700
1998,okinawa,470500,52100
2003,okinawa,519700,51800
2008,okinawa,566500,58400
2013,okinawa,602800,62400
2018,okinawa,652600,67900
